iter	Passed	Remaining
409	4354	6266
410	4367	6259
411	4372	6240
412	4377	6221
413	4381	6202
414	4389	6187
415	4397	6173
416	4405	6159
417	4414	6146
418	4424	6135
419	4434	6123
420	4438	6104
421	4448	6093
422	4454	6076
423	4462	6062
424	4469	6047
425	4477	6032
426	4489	6024
427	4494	6006
428	4502	5992
429	4507	5974
430	4513	5958
431	4522	5946
432	4532	5935
433	4537	5917
434	4555	5916
435	4563	5903
436	4572	5891
437	4580	5876
438	4590	5866
439	4611	5869
440	4620	5856
441	4627	5842
442	4637	5831
443	4645	5816
444	4653	5803
445	4661	5790
446	4667	5774
447	4678	5764
448	4691	5757
449	4695	5738
450	4701	5723
451	4707	5706
452	4713	5691
453	4724	5682
454	4744	5682
455	4753	5671
456	4765	5661
457	4778	5654
458	4784	5639
459	4791	5624
460	4800	5613
461	4806	5597
462	4816	5586
463	4821	5570
464	4835	5562
465	4840	5547
466	4846	5531
467	4850	5513
468	4884	5530
469	4911	5537
470	4918	5523
471	4924	5508
472	4928	5491
473	4932	5473
474	4943	5463
475	4949	5448
476	4960	5438
477	4966	5423
478	4979	5416
479	4987	5402
480	4992	5386
481	4998	5371
482	5007	5359
483	5023	5355
484	5033	5345
485	5044	5334
486	5052	5322
487	5061	5310
488	5069	5297
489	5078	5285
490	5092	5279
491	5117	5283
492	5124	5270
493	5131	5256
494	5138	5242
495	5143	5225
496	5147	5209
497	5159	5200
498	5168	5188
499	5173	5173
500	5181	5161
501	5192	5151
502	5204	5142
503	5224	5141
504	5235	5131
505	5239	5115
506	5249	5104
507	5253	5088
508	5261	5075
509	5271	5064
510	5277	5050
511	5287	5039
512	5291	5022
513	5301	5012
514	5307	4998
515	5313	4983
516	5319	4969
517	5333	4962
518	5338	4947
519	5347	4936
520	5355	4923
521	5366	4914
522	5380	4906
523	5389	4895
524	5393	4879
525	5397	4863
526	5405	4851
527	5414	4839
528	5419	4825
529	5425	4810
530	5431	4797
531	5434	4780
532	5438	4765
533	5444	4751
534	5453	4740
535	5462	4728
536	5476	4721
537	5483	4709
538	5492	4697
539	5497	4683
540	5503	4669
541	5510	4656
542	5518	4644
543	5521	4628
544	5534	4620
545	5542	4608
546	5548	4595
547	5563	4588
548	5606	4606
549	5629	4606
550	5635	4592
551	5643	4580
552	5649	4566
553	5661	4558
554	5672	4547
555	5679	4535
556	5690	4525
557	5701	4516
558	5705	4501
559	5715	4490
560	5720	4476
561	5726	4462
562	5728	4446
563	5757	4450
564	5764	4438
565	5781	4432
566	5788	4420
567	5794	4407
568	5804	4396
569	5810	4383
570	5817	4370
571	5828	4361
572	5832	4346
573	5839	4333
574	5849	4323
575	5906	4348
576	5913	4334
577	5921	4323
578	5930	4312
579	5946	4305
580	5955	4294
581	5967	4286
582	5973	4272
583	5980	4259
584	5988	4247
585	6020	4253
586	6028	4241
587	6036	4229
588	6044	4217
589	6057	4209
590	6064	4197
591	6075	4187
592	6079	4172
593	6100	4169
594	6114	4162
595	6126	4152
596	6129	4137
597	6138	4126
598	6141	4111
599	6150	4100
600	6154	4085
601	6162	4074
602	6168	4061
603	6173	4047
604	6178	4034
605	6186	4022
606	6206	4018
607	6216	4008
608	6221	3994
609	6230	3983
610	6234	3969
611	6241	3957
612	6248	3944
613	6253	3931
614	6262	3920
615	6267	3906
616	6272	3893
617	6279	3881
618	6290	3871
619	6294	3857
620	6312	3852
621	6316	3838
622	6321	3825
623	6329	3813
624	6335	3801
625	6376	3809
626	6381	3796
627	6387	3783
628	6391	3769
629	6399	3758
630	6405	3745
631	6412	3733
632	6429	3727
633	6442	3719
634	6452	3708
635	6458	3696
636	6468	3686
637	6476	3674
638	6486	3664
639	6490	3650
640	6496	3638
641	6503	3626
642	6510	3614
643	6519	3603
644	6526	3591
645	6536	3581
646	6542	3569
647	6548	3557
648	6559	3547
