,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,oppAbrv,GAME_ID,GAME_DATE,overUnder,hitRateLast5,hitRateLast10,hitRateLast20,hitRateSeason,hitRateVsOpp,hitRateSum,totalHitRateOverFifty,hitRateEdgeFactor,traded,OpponentPerformanceComparisonMAFlag,playerImpactComparisonMAFlag,OppDefensiveRanking,OppDefensiveRating,againstTopQuortileDefense,againstTopHalfDefense,Market Name,Site Less,Site More,Position
24,203110,Draymond Green,GSW,MIL,22300899,2024-03-06,1,0.600000,0.600000,0.700000,0.740000,1.000000,3.640000,5,1,0,0,0,10.0,110.8532258064516,0,1,Assists,-110,-154,F
25,203110,Draymond Green,GSW,MIL,22300899,2024-03-06,1,0.800000,0.400000,0.700000,0.790000,1.000000,3.690000,4,0,0,0,0,10.0,110.8532258064516,0,1,Turnovers,-120,-141,F
26,203110,Draymond Green,GSW,MIL,22300899,2024-03-06,1,0.400000,0.600000,0.700000,0.540000,0.000000,2.240000,3,0,0,0,0,10.0,110.8532258064516,0,1,Blocks,-114,-148,F
27,203110,Draymond Green,GSW,MIL,22300899,2024-03-06,0,0.400000,0.600000,0.550000,0.560000,0.000000,2.110000,3,0,0,0,0,10.0,110.8532258064516,0,1,Steals,-127,-132,F
28,203110,Draymond Green,GSW,CHI,22300907,2024-03-07,1,0.800000,0.800000,0.850000,0.740000,0.500000,3.690000,4,0,0,0,0,19.0,115.13387096774194,0,0,PTS+REB+AST,-122,-137,F
29,203110,Draymond Green,GSW,CHI,22300907,2024-03-07,1,0.400000,0.700000,0.600000,0.520000,0.500000,2.720000,3,0,0,0,0,19.0,115.13387096774194,0,0,3PT Made,-129,-132,F
30,203110,Draymond Green,GSW,CHI,22300907,2024-03-07,1,0.200000,0.500000,0.500000,0.560000,0.500000,2.260000,1,0,0,0,0,19.0,115.13387096774194,0,0,Steals,-122,-137,F
31,203110,Draymond Green,GSW,SAS,22300921,2024-03-09,0,0.400000,0.300000,0.250000,0.370000,0.000000,1.320000,0,0,0,0,0,22.0,115.78412698412698,0,0,Points,-134,-125,F
32,203110,Draymond Green,GSW,SAS,22300921,2024-03-09,0,0.200000,0.200000,0.350000,0.400000,0.000000,1.150000,0,0,0,0,0,22.0,115.78412698412698,0,0,PTS+REB+AST,-143,-118,F
33,203110,Draymond Green,GSW,SAS,22300936,2024-03-11,0,0.600000,0.700000,0.700000,0.540000,0.250000,2.790000,4,0,0,0,0,18.0,113.975,0,0,3PT Made,-114,-150,F
34,203110,Draymond Green,GSW,SAS,22300936,2024-03-11,0,0.600000,0.400000,0.500000,0.550000,0.000000,2.050000,2,0,0,1,0,18.0,113.975,0,0,PTS+REB+AST,-130,-129,F
35,203110,Draymond Green,GSW,SAS,22300936,2024-03-11,0,0.400000,0.200000,0.400000,0.450000,0.000000,1.450000,0,0,0,0,0,18.0,113.975,0,0,Points,-139,-121,F
36,203110,Draymond Green,GSW,SAS,22300936,2024-03-11,0,0.400000,0.500000,0.500000,0.450000,0.250000,2.100000,0,0,0,1,0,18.0,113.975,0,0,Rebounds,-112,-152,F
37,203110,Draymond Green,GSW,SAS,22300936,2024-03-11,0,0.400000,0.400000,0.500000,0.560000,0.500000,2.360000,1,0,0,1,0,18.0,113.975,0,0,Assists,-112,-152,F
38,203110,Draymond Green,GSW,LAL,22300973,2024-03-16,0,0.600000,0.500000,0.700000,0.660000,0.670000,3.130000,4,0,0,1,0,21.0,115.50597014925373,0,0,Points,-125,-136,F
39,203110,Draymond Green,GSW,LAL,22300973,2024-03-16,1,0.400000,0.600000,0.750000,0.780000,0.830000,3.360000,4,0,0,0,0,21.0,115.50597014925373,0,0,PTS+REB+AST,-132,-129,F
40,203110,Draymond Green,GSW,DAL,22300589,2024-04-02,1,0.400000,0.500000,0.500000,0.590000,1.000000,2.990000,2,0,0,0,1,19.0,114.07837837837837,0,0,PTS+REB+AST,-122,-137,F
41,203110,Draymond Green,GSW,DAL,22300589,2024-04-02,1,0.600000,0.500000,0.400000,0.600000,1.000000,3.100000,3,0,0,0,1,19.0,114.07837837837837,0,0,Points,-130,-130,F
42,203110,Draymond Green,GSW,DAL,22300589,2024-04-02,1,0.600000,0.700000,0.600000,0.450000,0.330000,2.680000,3,0,0,0,1,19.0,114.07837837837837,0,0,Rebounds,-117,-143,F
43,203110,Draymond Green,GSW,DAL,22300589,2024-04-02,1,0.400000,0.500000,0.450000,0.550000,0.670000,2.570000,2,0,0,0,1,19.0,114.07837837837837,0,0,Assists,-113,-150,F
44,203110,Draymond Green,GSW,DAL,22300589,2024-04-02,1,0.200000,0.300000,0.500000,0.520000,1.000000,2.520000,2,0,0,0,1,19.0,114.07837837837837,0,0,Blocks,-143,-118,F
