,Line,Site Less,Site More,Prediction,Lean,DFS Pickem Sites Factor,Sportsbooks Factor,RotoWire Projection Factor,Hit Rate Factor,RotoWire Projection,Weighted Hit Rate,At Home,Average Line Variance,Implied Less ,Implied More ,Hit Rate Last 10,Hit Rate Last 10 Outcomes,Hit Rate Last 20 Outcomes,Hit Rate Last 30 Outcomes,Hit Rate Last 5 Outcomes,Hit Rate Previous Season,Hit Rate Season,Hit Rate Vs Opponent,RotoWire Projection Difference,RotoWire Projection Difference ,PrizePicks,PrizePicks Line,Underdog,Underdog Line,DraftKings Pick6,DraftKings Pick6 Line,BetMGM Line,BetMGM Less,BetMGM More,BetMGM Less ,BetMGM More ,BetRivers Line,BetRivers Less,BetRivers More,BetRivers Less ,BetRivers More ,DraftKings Line,DraftKings Less,DraftKings More,DraftKings Less ,DraftKings More ,FanDuel Line,FanDuel Less,FanDuel More,FanDuel Less ,FanDuel More ,PointsBet Line,PointsBet Less,PointsBet More,PointsBet Less ,PointsBet More 
221,2.5,-139,-121,2.8,1,0,-0.9,13.0,7.5,2.76,53,0,0,52,48,50,11110010,1.11e+17,1.11e+27,111,35,63,18,0.26,10.39,2.5,2.5,-1,-1,-1,-1,2.5,-125,-110,51,49,2.5,-118,-113,51,49,2.5,-120,-110,51,49,2.5,-108,-118,49,51,2.5,-115,-115,50,50
222,0.5,-114,-150,2.6,1,0,10.4,8.3,-15.0,0.62,44,0,0,47,53,60,1111011,1.11e+16,1.11e+26,11,59,37,40,0.12,24.95,0.5,0.5,-1,-1,-1,-1,0.5,100,-135,47,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,1.5,-141,-120,2.5,1,0,-5.8,5.5,25.0,1.61,60,0,0,52,48,60,1110011100,1.11e+19,1.11e+29,11100,65,59,60,0.11,7.3,1.5,1.5,1.5,1.5,-1,-1,1.5,-125,-105,52,48,-1,-1,-1,-1,-1,1.5,-125,-105,52,48,1.5,-132,104,54,46,-1,-1,-1,-1,-1
225,19.5,-129,-132,-2.4,0,0,1.3,66.2,-85.0,21.49,16,1,0,50,50,10,10000,100000000000000.0,1e+24,0,49,39,50,1.99,10.19,19.5,19.5,19.5,19.5,-1,-1,19.5,-115,-120,50,50,-1,-1,-1,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,19.5,-110,-120,49,51
227,22.5,-130,-130,2.3,1,0,12.9,-17.6,2.5,21.97,51,1,0.3,50,50,50,1111000100,1.11e+19,1.11e+29,11110,81,44,38,-0.53,-2.34,22.5,22.5,22.5,22.5,-1,-1,22.5,-115,-115,50,50,23.5,-103,100,50,50,22.5,-115,-115,50,50,23.5,-118,-108,51,49,22.5,-115,-115,50,50
228,0.5,-141,-120,2.2,1,0,-6.1,36.6,-7.5,1.05,47,0,0,52,48,40,10101100,1.01e+17,1.0100000000000001e+27,101,40,51,0,0.55,109.82,0.5,0.5,-1,-1,-1,-1,0.5,-125,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,0.5,-150,-113,2.2,1,0,-9.8,12.5,25.0,0.69,60,1,0,53,47,70,11111110,1.11e+17,1.11e+27,111,50,43,60,0.19,37.44,0.5,0.5,0.5,0.5,-1,-1,0.5,-135,100,53,47,-1,-1,-1,-1,-1,0.5,-130,100,53,47,0.5,-136,108,55,45,0.5,-125,-105,52,48
230,8.5,-113,-150,-2.1,0,0,3.8,-48.1,25.0,7.06,60,0,0,47,53,60,1100011110,1.1e+19,1.1e+29,11000,13,31,0,-1.44,-16.97,8.5,8.5,8.5,8.5,-1,-1,8.5,100,-135,47,53,8.5,-105,-127,48,52,8.5,100,-130,47,53,8.5,-104,-122,48,52,8.5,-105,-125,48,52
232,1.5,-129,-130,-1.9,0,0,-2.5,5.3,-12.5,1.61,45,1,0,50,50,40,110000110,1.1e+18,1.1000000000000002e+28,1100,21,41,15,0.11,7.11,1.5,1.5,1.5,1.5,-1,-1,1.5,-115,-115,50,50,1.5,-115,-115,50,50,1.5,-115,-115,50,50,1.5,-125,-102,52,48,1.5,-130,100,53,47
233,1.5,-132,-127,1.9,1,0,0,-7.6,20.0,1.35,58,1,0,50,50,50,1101100001,1.1e+19,1.1e+29,11011,53,34,38,-0.15,-10.14,1.5,1.5,-1,-1,-1,-1,1.5,-120,-115,50,50,1.5,-113,-118,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
234,2.5,-112,-152,-1.7,0,0,5.1,-25.9,2.5,1.98,51,0,0,47,53,60,1010111010,1.01e+19,1.01e+29,10101,29,47,22,-0.52,-20.71,2.5,2.5,2.5,2.5,-1,-1,2.5,100,-135,47,53,-1,-1,-1,-1,-1,2.5,100,-130,47,53,2.5,-106,-120,49,51,2.5,-110,-120,49,51
235,3.5,-130,-129,-1.7,0,0,1.6,-32.6,17.5,2.85,57,1,0,50,50,60,1010111001,1.01e+19,1.01e+29,10101,38,39,25,-0.65,-18.61,3.5,3.5,3.5,3.5,-1,-1,3.5,-115,-115,50,50,3.5,-103,-129,47,53,3.5,-105,-125,48,52,3.5,-118,-108,51,49,3.5,-115,-115,50,50
236,10.5,-118,-141,-1.7,0,0,7.2,-0.4,-27.5,10.49,39,0,0.1,48,52,40,100101100,1e+18,1e+28,1001,63,46,75,-0.01,-0.1,10.5,10.5,10.5,10.5,-1,-1,10.5,-105,-125,48,52,11.5,-115,114,53,47,10.5,-105,-125,48,52,10.5,-113,-113,50,50,10.5,-110,-120,49,51
237,25.5,-129,-132,1.6,1,0,8.2,-33.3,25.0,24.5,60,0,0.2,50,50,60,10111011,1.01e+17,1.0100000000000001e+27,101,42,55,11,-1.0,-3.91,25.5,25.5,25.5,25.5,-1,-1,25.5,-115,-120,50,50,-1,-1,-1,-1,-1,25.5,-115,-115,50,50,26.5,-122,-104,52,48,25.5,-110,-120,49,51
239,36.5,-136,-124,-1.1,0,0,6.1,-31.4,10.0,35.56,54,1,0.1,51,49,60,110100111,1.1e+18,1.1000000000000002e+28,1101,79,54,57,-0.94,-2.58,36.5,36.5,36.5,36.5,-1,-1,36.5,-120,-110,51,49,37.5,107,106,50,50,36.5,-120,-110,51,49,36.5,-113,-113,50,50,36.5,-115,-115,50,50
240,5.5,-150,-112,-1.1,0,0,-6.7,16.0,-7.5,5.82,47,0,0,53,47,50,1001010110,1e+19,1.0000000000000001e+29,10010,48,67,43,0.32,5.83,-1,-1,5.5,5.5,-1,-1,5.5,-135,100,53,47,5.5,-136,102,54,46,5.5,-130,100,53,47,5.5,-120,-106,51,49,5.5,-130,100,53,47
241,35.5,-121,-139,-1.0,0,0,14.4,-35.5,-5.0,34.43,48,0,0.3,48,52,60,11011101,1.1e+17,1.1000000000000001e+27,110,20,52,18,-1.07,-3.0,35.5,35.5,35.5,35.5,-1,-1,35.5,-110,-125,49,51,36.5,-103,-108,49,51,35.5,-105,-125,48,52,36.5,-115,-111,50,50,35.5,-115,-115,50,50
242,0.5,-125,-134,0.8,1,0,3,10.8,-12.5,0.66,45,0,0,49,51,40,110000011,1.1e+18,1.1000000000000002e+28,1100,30,39,50,0.16,32.55,0.5,0.5,-1,-1,-1,-1,0.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243,4.5,-115,-148,-0.8,0,0,4,-29.5,15.0,3.91,56,0,0,47,53,50,11100110,1.11e+17,1.11e+27,111,68,53,29,-0.59,-13.12,4.5,4.5,4.5,4.5,-1,-1,4.5,-110,-120,49,51,4.5,-109,-122,49,51,4.5,-105,-125,48,52,4.5,-106,-120,49,51,4.5,100,-130,47,53
245,35.5,-136,-124,0.7,1,0,-1.8,-6.0,15.0,35.32,56,0,0,51,49,60,1010010111,1.01e+19,1.01e+29,10100,66,65,57,-0.18,-0.51,-1,-1,35.5,35.5,-1,-1,35.5,-125,-105,52,48,35.5,-108,-103,51,49,35.5,-125,-105,52,48,35.5,-115,-111,50,50,35.5,-120,-110,51,49
246,25.5,-127,-132,0.7,1,0,0.4,-8.9,12.5,25.23,55,0,0,50,50,60,110101101,1.1e+18,1.1000000000000002e+28,1101,48,52,50,-0.27,-1.04,25.5,25.5,25.5,25.5,-1,-1,25.5,-110,-120,49,51,25.5,106,-108,48,52,25.5,-115,-115,50,50,25.5,-120,-106,51,49,25.5,-115,-115,50,50
247,0.5,-152,-112,-0.7,0,0,-10.4,7.4,12.5,0.61,55,0,0,53,47,50,1010100110,1.01e+19,1.01e+29,10101,18,49,27,0.11,22.15,-1,-1,0.5,0.5,-1,-1,0.5,-135,100,53,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,13.5,-127,-134,0.4,1,0,7.6,50.1,-65.0,15.0,24,1,0.1,49,51,10,1000000000,1e+19,1.0000000000000001e+29,10000,44,43,50,1.5,11.14,13.5,13.5,13.5,13.5,-1,-1,13.5,-110,-120,49,51,14.5,-108,108,52,48,13.5,-110,-120,49,51,13.5,-104,-122,48,52,13.5,-110,-120,49,51
251,27.5,-125,-134,-0.4,0,0,7.7,-78.1,57.5,25.16,73,0,0.1,49,51,70,1111100011,1.11e+19,1.11e+29,11111,70,53,76,-2.34,-8.52,27.5,27.5,27.5,27.5,-1,-1,27.5,-110,-120,49,51,28.5,-112,104,52,48,27.5,-110,-120,49,51,27.5,-102,-125,48,52,27.5,-110,-120,49,51
252,1.5,-125,-136,-0.1,0,0,0.3,11.5,-12.5,1.73,45,1,0,49,51,40,1000100011,1e+19,1.0000000000000001e+29,10001,-1,48,50,0.23,15.38,1.5,1.5,1.5,1.5,-1,-1,1.5,-110,-120,49,51,1.5,-115,-115,50,50,1.5,-115,-115,50,50,1.5,-115,-111,50,50,1.5,-115,-115,50,50
253,1.5,-114,-150,0.0,0,0,8.1,6.1,-25.0,1.62,40,1,0,47,53,40,10001101,1e+17,1.0000000000000002e+27,100,27,43,20,0.12,8.09,-1,-1,1.5,1.5,-1,-1,1.5,100,-135,47,53,1.5,102,-136,46,54,1.5,105,-135,46,54,-1,-1,-1,-1,-1,1.5,100,-130,47,53
254,25.5,-139,-121,-28.4,0,-16.7,-10.1,-94.2,-32.5,22.68,37,1,0.3,52,48,40,1000110100,1e+19,1.0000000000000001e+29,10001,-1,29,-1,-2.82,-11.08,24.5,24.5,25.5,25.5,-1,-1,25.5,-125,-105,52,48,-1,-1,-1,-1,-1,25.5,-125,-105,52,48,24.5,-106,-120,49,51,25.5,-125,-105,52,48
255,14.5,-115,-145,28.2,1,0,16.2,100.0,50.0,18.15,70,0,0.3,47,53,80,1111110011,1.11e+19,1.11e+29,11111,43,54,18,3.65,25.2,-1,-1,14.5,14.5,-1,-1,14.5,-105,-130,48,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.5,-130,100,53,47
256,6.5,-143,-118,-27.7,0,0,-5,-72.8,-100.0,4.32,0,0,0,52,48,0,0,0.0,100000000.0,0,3,0,100,-2.18,-33.6,6.5,6.5,6.5,6.5,-1,-1,6.5,-130,-105,52,48,-1,-1,-1,-1,-1,6.5,-130,100,53,47,-1,-1,-1,-1,-1,6.5,-140,105,54,46
257,12.5,-122,-137,-25.1,0,0,0.8,-69.4,-100.0,10.42,0,0,0,49,51,0,0,0.0,0.0,0,0,0,100,-2.08,-16.64,-1,-1,12.5,12.5,-1,-1,12.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.5,-115,-115,50,50
258,13.5,-112,-152,23.9,1,33.3,20.9,27.5,5.0,14.33,52,1,0.7,47,53,60,1001011011,1e+19,1.0000000000000001e+29,10010,21,51,25,0.83,6.12,-1,-1,14.5,14.5,-1,-1,13.5,100,-135,47,53,14.5,106,-105,49,51,13.5,100,-130,47,53,14.5,-128,100,53,47,14.5,-125,-105,52,48
259,25.5,-129,-132,23.7,1,0,7.6,100.0,40.0,28.67,66,0,0.2,50,50,70,101011111,1.01e+18,1.01e+28,1010,51,55,54,3.17,12.42,25.5,25.5,25.5,25.5,-1,-1,25.5,-115,-120,50,50,-1,-1,-1,-1,-1,25.5,-115,-115,50,50,26.5,-125,-102,52,48,25.5,-115,-115,50,50
260,20.5,-127,-132,21.9,1,0,0.5,100.0,45.0,26.05,68,0,0,50,50,70,1110100111,1.11e+19,1.11e+29,11101,25,47,20,5.55,27.09,20.5,20.5,20.5,20.5,-1,-1,20.5,-110,-120,49,51,-1,-1,-1,-1,-1,20.5,-115,-115,50,50,-1,-1,-1,-1,-1,20.5,-115,-115,50,50
261,15.5,-122,-137,-21.6,0,0,0.1,-61.9,-82.5,13.64,17,1,0,49,51,20,10100,101000000000000.0,1.01e+24,0,-1,27,-1,-1.86,-11.98,15.5,15.5,15.5,15.5,-1,-1,15.5,-110,-120,49,51,-1,-1,-1,-1,-1,15.5,-110,-120,49,51,15.5,-122,-104,52,48,15.5,-115,-115,50,50
262,13.5,-118,-141,21.0,1,16.7,13.8,58.6,10.0,15.26,54,0,0.4,48,52,60,10111011,1.01e+17,1.0100000000000001e+27,101,13,33,30,1.76,13.01,14.5,14.5,13.5,13.5,-1,-1,13.5,-105,-125,48,52,14.5,-109,110,52,48,13.5,-105,-125,48,52,13.5,100,-128,47,53,14.5,-130,100,53,47
263,16.5,-134,-127,20.7,1,0,6.5,75.5,47.5,18.77,69,0,0.2,51,49,80,101111111,1.01e+18,1.01e+28,1011,55,48,54,2.27,13.74,16.5,16.5,16.5,16.5,-1,-1,16.5,-120,-110,51,49,-1,-1,-1,-1,-1,16.5,-120,-110,51,49,17.5,-128,100,53,47,16.5,-115,-115,50,50
264,4.5,-109,-154,20.4,1,-1,17.6,15.3,80.0,4.81,82,0,0.2,46,54,80,111110111,1.11e+18,1.11e+28,1111,49,77,25,0.31,6.8,-1,-1,-1,-1,-1,-1,4.5,100,-135,47,53,5.5,118,130,51,49,4.5,100,-130,47,53,4.5,120,-154,43,57,4.5,105,-140,46,54
265,24.5,-141,-120,-19.9,0,-16.7,-2.4,-55.8,-32.5,22.83,37,1,0.2,52,48,40,1110100,1.11e+16,1.11e+26,11,27,44,14,-1.67,-6.83,23.5,23.5,24.5,24.5,-1,-1,24.5,-125,-105,52,48,-1,-1,-1,-1,-1,24.5,-125,-105,52,48,24.5,-120,-106,51,49,24.5,-120,-110,51,49
266,13.5,-129,-130,19.7,1,0,0,78.8,52.5,15.86,71,0,0,50,50,70,111111100,1.11e+18,1.11e+28,1111,57,61,61,2.36,17.5,-1,-1,13.5,13.5,-1,-1,13.5,-115,-115,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.5,-115,-115,50,50
267,21.5,-136,-124,-19.6,0,0,-2.5,-100.0,-25.0,18.06,40,1,0,51,49,40,1001110,1e+16,1e+26,10,66,67,71,-3.44,-16.01,21.5,21.5,21.5,21.5,-1,-1,21.5,-120,-110,51,49,-1,-1,-1,-1,-1,21.5,-120,-110,51,49,-1,-1,-1,-1,-1,21.5,-130,100,53,47
268,22.5,-130,-130,19.5,1,0,0,100.0,30.0,25.71,62,0,0,50,50,60,1111110000,1.11e+19,1.11e+29,11111,55,58,30,3.21,14.28,22.5,22.5,22.5,22.5,-1,-1,22.5,-115,-115,50,50,-1,-1,-1,-1,-1,22.5,-115,-115,50,50,-1,-1,-1,-1,-1,22.5,-115,-115,50,50
269,38.5,-139,-121,-18.6,0,-16.7,-9.8,-97.2,35.0,35.58,64,1,0.3,52,48,80,1011011111,1.01e+19,1.01e+29,10110,43,50,30,-2.92,-7.58,37.5,37.5,38.5,38.5,-1,-1,38.5,-125,-105,52,48,-1,-1,-1,-1,-1,38.5,-125,-105,52,48,38.5,-122,-104,52,48,37.5,-105,-125,48,52
270,41.5,-124,-136,18.3,1,16.7,9.3,9.0,52.5,41.77,71,1,0.3,49,51,70,111110011,1.11e+18,1.11e+28,1111,34,56,55,0.27,0.65,42.5,42.5,41.5,41.5,-1,-1,41.5,-110,-120,49,51,-1,-1,-1,-1,-1,41.5,-110,-120,49,51,41.5,-106,-120,49,51,42.5,-120,-110,51,49
271,10.5,-124,-136,18.3,1,0,13.1,43.7,47.5,11.81,69,0,0.3,49,51,70,1111110010,1.11e+19,1.11e+29,11111,-1,23,100,1.31,12.49,10.5,10.5,10.5,10.5,-1,-1,10.5,-110,-120,49,51,11.5,-108,112,52,48,10.5,-110,-120,49,51,11.5,-125,-102,52,48,10.5,-105,-125,48,52
272,14.5,-124,-136,18.0,1,0,8.2,88.5,12.5,17.16,55,1,0.2,49,51,50,1011000011,1.01e+19,1.01e+29,10110,51,54,20,2.66,18.32,-1,-1,14.5,14.5,-1,-1,14.5,-110,-120,49,51,15.5,-113,116,53,47,-1,-1,-1,-1,-1,14.5,-108,-118,49,51,14.5,-110,-120,49,51
273,10.5,-118,-143,18.0,1,0,8.3,50.8,50.0,12.02,70,0,0.2,48,52,70,1111110001,1.11e+19,1.11e+29,11111,63,60,30,1.52,14.51,10.5,10.5,10.5,10.5,-1,-1,-1,-1,-1,-1,-1,11.5,-112,106,52,48,10.5,-110,-120,49,51,10.5,-113,-113,50,50,10.5,-110,-120,49,51
274,23.5,-124,-137,17.6,1,0,20.6,11.5,57.5,23.85,73,0,0.4,49,51,70,111101110,1.11e+18,1.11e+28,1111,54,48,43,0.35,1.47,23.5,23.5,23.5,23.5,-1,-1,23.5,-110,-120,49,51,24.5,-103,-105,50,50,23.5,105,-135,46,54,24.5,-125,-102,52,48,24.5,-120,-110,51,49
275,27.5,-139,-121,-17.5,0,0,-1.7,-70.1,-42.5,25.4,33,0,0,52,48,30,110000100,1.1e+18,1.1000000000000002e+28,1100,49,28,38,-2.1,-7.65,27.5,27.5,27.5,27.5,-1,-1,27.5,-125,-110,51,49,-1,-1,-1,-1,-1,27.5,-120,-110,51,49,-1,-1,-1,-1,-1,27.5,-120,-110,51,49
276,21.5,-136,-124,-16.9,0,0,-1.7,-78.8,-30.0,19.14,38,0,0,51,49,40,1100011000,1.1e+19,1.1e+29,11000,4,22,18,-2.36,-10.99,21.5,21.5,21.5,21.5,-1,-1,21.5,-120,-110,51,49,21.5,-108,102,51,49,21.5,-120,-110,51,49,21.5,-125,-102,52,48,21.5,-115,-115,50,50
277,23.5,-137,-122,-16.7,0,0,5.4,-78.9,-45.0,21.13,32,1,0.1,51,49,30,1000000011,1e+19,1.0000000000000001e+29,10000,69,43,50,-2.37,-10.07,23.5,23.5,23.5,23.5,-1,-1,23.5,-120,-110,51,49,24.5,110,110,50,50,23.5,-120,-110,51,49,23.5,-118,-108,51,49,23.5,-120,-110,51,49
278,8.5,-130,-129,15.7,1,0,1.3,86.6,15.0,11.1,56,0,0,50,50,60,101010111,1.01e+18,1.01e+28,1010,20,59,38,2.6,30.56,8.5,8.5,8.5,8.5,-1,-1,8.5,-115,-115,50,50,8.5,117,-110,47,53,8.5,-115,-115,50,50,8.5,-108,-118,49,51,8.5,-115,-115,50,50
279,17.5,-127,-132,15.3,1,0,1.1,86.9,12.5,20.11,55,1,0,50,50,60,11111001,1.11e+17,1.11e+27,111,70,61,50,2.61,14.9,17.5,17.5,17.5,17.5,-1,-1,17.5,-115,-120,50,50,-1,-1,-1,-1,-1,17.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
280,16.5,-139,-122,14.6,1,0,4.8,71.0,15.0,18.63,56,1,0.1,51,49,60,1011011010,1.01e+19,1.01e+29,10110,43,59,29,2.13,12.91,16.5,16.5,16.5,16.5,-1,-1,16.5,-120,-110,51,49,17.5,-114,114,53,47,16.5,-120,-110,51,49,16.5,-113,-113,50,50,16.5,-120,-110,51,49
281,24.5,-114,-148,14.5,1,0,14.3,1.1,62.5,24.53,75,0,0.3,47,53,70,1111100110,1.11e+19,1.11e+29,11111,54,70,40,0.03,0.13,24.5,24.5,24.5,24.5,-1,-1,24.5,-105,-125,48,52,25.5,-103,-104,50,50,24.5,-105,-125,48,52,25.5,-128,100,53,47,24.5,-105,-125,48,52
283,21.5,-122,-137,-14.3,0,0,7.2,-84.6,-27.5,18.96,39,0,0.1,49,51,40,110000110,1.1e+18,1.1000000000000002e+28,1100,46,31,25,-2.54,-11.8,21.5,21.5,21.5,21.5,-1,-1,21.5,-110,-120,49,51,22.5,-108,102,51,49,21.5,-110,-120,49,51,21.5,-108,-118,49,51,21.5,-115,-115,50,50
284,13.5,-136,-124,14.1,1,0,-0.4,52.3,42.5,15.07,67,1,0,51,49,70,111110110,1.11e+18,1.11e+28,1111,34,42,64,1.57,11.62,13.5,13.5,13.5,13.5,-1,-1,13.5,-120,-110,51,49,-1,-1,-1,-1,-1,13.5,-120,-110,51,49,13.5,-108,-118,49,51,13.5,-115,-115,50,50
285,11.5,-130,-129,-13.8,0,0,0.2,-75.0,-17.5,9.25,43,1,0,50,50,40,1010001001,1.01e+19,1.01e+29,10100,39,50,33,-2.25,-19.56,11.5,11.5,11.5,11.5,-1,-1,11.5,-115,-115,50,50,11.5,-110,-120,49,51,11.5,-115,-115,50,50,11.5,-115,-111,50,50,11.5,-115,-115,50,50
286,15.5,-130,-129,13.7,1,0,-0.8,80.4,12.5,17.91,55,1,0,50,50,60,10111110,1.01e+17,1.0100000000000001e+27,101,45,54,25,2.41,15.57,-1,-1,15.5,15.5,-1,-1,15.5,-115,-115,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.5,-120,-110,51,49
287,20.5,-145,-115,-13.5,0,0,-17.3,2.8,-52.5,20.58,29,0,0.3,53,47,20,1010000000,1.01e+19,1.01e+29,10100,15,23,38,0.08,0.4,20.5,20.5,20.5,20.5,-1,-1,20.5,-130,-105,52,48,-1,-1,-1,-1,-1,20.5,-130,100,53,47,19.5,100,-128,47,53,19.5,-110,-120,49,51
288,27.5,-136,-124,-13.5,0,-16.7,-0.6,-72.1,22.5,25.34,59,1,0.2,51,49,70,1011001111,1.01e+19,1.01e+29,10110,41,54,39,-2.16,-7.86,26.5,26.5,27.5,27.5,-1,-1,27.5,-120,-110,51,49,-1,-1,-1,-1,-1,27.5,-120,-110,51,49,27.5,-111,-115,50,50,27.5,-115,-115,50,50
289,9.5,-129,-130,13.4,1,0,0.6,68.0,20.0,11.54,58,0,0,50,50,50,1111010000,1.11e+19,1.11e+29,11110,44,56,30,2.04,21.49,9.5,9.5,9.5,9.5,-1,-1,9.5,-110,-120,49,51,9.5,-113,-118,49,51,9.5,-110,-120,49,51,9.5,-115,-111,50,50,9.5,-115,-115,50,50
290,10.5,-139,-121,-13.2,0,0,-1.4,-54.9,-30.0,8.85,38,1,0,52,48,40,1001110,1e+16,1e+26,10,70,64,76,-1.65,-15.68,10.5,10.5,10.5,10.5,-1,-1,10.5,-125,-110,51,49,10.5,114,-108,47,53,10.5,-120,-110,51,49,10.5,-128,100,53,47,10.5,-125,-105,52,48
291,9.5,-122,-137,13.2,1,-1,13.4,79.3,-22.5,11.88,41,1,0.5,49,51,50,1111100,1.11e+16,1.11e+26,11,58,49,67,2.38,25.06,-1,-1,-1,-1,-1,-1,9.5,-110,-120,49,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.5,-145,110,55,45
292,1.5,-120,-141,12.9,1,0,7.8,17.7,50.0,1.85,70,0,0,48,52,70,110111011,1.1e+18,1.1000000000000002e+28,1101,15,46,10,0.35,23.59,1.5,1.5,1.5,1.5,-1,-1,1.5,-105,-125,48,52,1.5,112,-148,44,56,1.5,-105,-125,48,52,1.5,106,-136,46,54,1.5,100,-130,47,53
294,10.5,-125,-134,12.6,1,0,7.8,63.7,2.5,12.41,51,1,0.1,49,51,60,1111101,1.11e+16,1.11e+26,11,71,65,50,1.91,18.2,10.5,10.5,10.5,10.5,-1,-1,10.5,-110,-120,49,51,11.5,-107,112,52,48,10.5,-110,-120,49,51,10.5,100,-128,47,53,10.5,-110,-120,49,51
295,25.5,-134,-125,-12.5,0,0,-6.8,-100.0,32.5,22.46,63,0,0.1,51,49,70,101101111,1.01e+18,1.01e+28,1011,55,62,50,-3.04,-11.9,25.5,25.5,25.5,25.5,-1,-1,25.5,-120,-110,51,49,25.5,100,-109,49,51,25.5,-120,-110,51,49,24.5,-106,-120,49,51,25.5,-120,-110,51,49
296,12.5,-124,-137,12.5,1,0,6.9,57.2,10.0,14.22,54,0,0.1,49,51,60,1001001111,1e+19,1.0000000000000001e+29,10010,40,48,35,1.72,13.73,12.5,12.5,12.5,12.5,-1,-1,12.5,-110,-120,49,51,13.5,-106,125,54,46,12.5,-110,-120,49,51,12.5,-106,-120,49,51,12.5,-110,-120,49,51
298,24.5,-120,-141,-12.3,0,0,1.4,-60.0,-25.0,22.7,40,0,0,48,52,40,1000010011,1e+19,1.0000000000000001e+29,10000,51,59,38,-1.8,-7.35,24.5,24.5,24.5,24.5,-1,-1,24.5,-105,-125,48,52,-1,-1,-1,-1,-1,24.5,-110,-120,49,51,24.5,-115,-111,50,50,24.5,-110,-120,49,51
299,19.5,-127,-134,12.2,1,0,1,86.2,-7.5,22.09,47,1,0,49,51,50,1011011,1.01e+16,1.01e+26,10,58,52,20,2.59,13.26,19.5,19.5,19.5,19.5,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,19.5,-115,-115,50,50
300,12.5,-130,-129,12.1,1,0,-0.8,97.7,-15.0,15.43,44,0,0,50,50,40,1101000001,1.1e+19,1.1e+29,11010,39,39,33,2.93,23.45,12.5,12.5,12.5,12.5,-1,-1,12.5,-115,-115,50,50,-1,-1,-1,-1,-1,12.5,-120,-110,51,49,12.5,-118,-108,51,49,12.5,-115,-115,50,50
301,29.5,-134,-125,-12.1,0,0,-8.8,-39.9,-20.0,28.3,42,0,0.2,51,49,50,110011100,1.1e+18,1.1000000000000002e+28,1100,3,24,0,-1.2,-4.06,29.5,29.5,29.5,29.5,-1,-1,29.5,-120,-110,51,49,-1,-1,-1,-1,-1,29.5,-120,-110,51,49,28.5,-104,-122,48,52,29.5,-120,-110,51,49
302,26.5,-141,-120,-12.0,0,0,-1.7,-83.7,7.5,23.99,53,0,0,52,48,60,1100111100,1.1e+19,1.1e+29,11001,53,36,65,-2.51,-9.48,26.5,26.5,26.5,26.5,-1,-1,26.5,-125,-105,52,48,-1,-1,-1,-1,-1,26.5,-125,-105,52,48,26.5,-115,-111,50,50,26.5,-115,-115,50,50
303,9.5,-139,-121,12.0,1,0,-1.6,66.2,17.5,11.49,57,0,0,52,48,60,1110000111,1.11e+19,1.11e+29,11100,23,40,0,1.99,20.91,9.5,9.5,9.5,9.5,-1,-1,9.5,-125,-105,52,48,9.5,-117,-114,50,50,9.5,-125,-105,52,48,9.5,-118,-108,51,49,9.5,-115,-115,50,50
304,55.5,-139,-121,-11.9,0,-12.5,-1.1,-100.0,52.5,49.25,71,1,0.4,52,48,80,111111101,1.11e+18,1.11e+28,1111,29,51,25,-6.25,-11.25,54.5,54.5,55.5,55.5,-1,-1,55.5,-125,-105,52,48,56.5,102,104,50,50,55.5,-125,-105,52,48,55.5,-120,-106,51,49,54.5,-110,-120,49,51
305,19.5,-127,-132,11.6,1,0,0.5,83.9,-7.5,22.02,47,0,0,50,50,40,1000101100,1e+19,1.0000000000000001e+29,10001,74,40,80,2.52,12.9,19.5,19.5,19.5,19.5,-1,-1,19.5,-110,-120,49,51,-1,-1,-1,-1,-1,19.5,-115,-115,50,50,-1,-1,-1,-1,-1,19.5,-115,-115,50,50
