,Line,Site Less,Site More,Prediction,Lean,DFS Pickem Sites Factor,Sportsbooks Factor,RotoWire Projection Factor,Hit Rate Factor,RotoWire Projection,Weighted Hit Rate,At Home,Average Line Variance,Implied Less ,Implied More ,Hit Rate Last 10,Hit Rate Last 10 Outcomes,Hit Rate Last 20 Outcomes,Hit Rate Last 30 Outcomes,Hit Rate Last 5 Outcomes,Hit Rate Previous Season,Hit Rate Season,Hit Rate Vs Opponent,RotoWire Projection Difference,RotoWire Projection Difference ,PrizePicks,PrizePicks Line,Underdog,Underdog Line,DraftKings Pick6,DraftKings Pick6 Line,BetMGM Line,BetMGM Less,BetMGM More,BetMGM Less ,BetMGM More ,BetRivers Line,BetRivers Less,BetRivers More,BetRivers Less ,BetRivers More ,DraftKings Line,DraftKings Less,DraftKings More,DraftKings Less ,DraftKings More ,FanDuel Line,FanDuel Less,FanDuel More,FanDuel Less ,FanDuel More ,PointsBet Line,PointsBet Less,PointsBet More,PointsBet Less ,PointsBet More 
23,5.5,-150,-113,-11.9,0,0,-10.8,23.4,-77.5,5.97,19,0,0,53,47,20,10010,100000000000000.0,1e+24,0,30,48,13,0.47,8.52,-1,-1,5.5,5.5,-1,-1,5.5,-135,100,53,47,5.5,-143,108,55,45,5.5,-135,105,54,46,5.5,-146,114,56,44,5.5,-145,110,55,45
24,23.5,-125,-134,-11.6,0,0,1.7,-53.8,-27.5,21.89,39,1,0,49,51,30,1100000001,1.1e+19,1.1e+29,11000,69,44,20,-1.61,-6.87,23.5,23.5,23.5,23.5,-1,-1,23.5,-110,-120,49,51,-1,-1,-1,-1,-1,23.5,-110,-120,49,51,23.5,-106,-120,49,51,23.5,-110,-120,49,51
25,7.5,-129,-130,11.6,1,0,0.6,55.6,20.0,9.17,58,0,0,50,50,70,1001111110,1e+19,1.0000000000000001e+29,10011,52,50,50,1.67,22.24,7.5,7.5,7.5,7.5,-1,-1,7.5,-120,-115,50,50,7.5,114,-112,47,53,7.5,-115,-115,50,50,7.5,-115,-111,50,50,7.5,-115,-115,50,50
26,19.5,-127,-134,11.1,1,0,7.3,59.8,-2.5,21.29,49,0,0.1,49,51,50,1001110100,1e+19,1.0000000000000001e+29,10011,9,42,25,1.79,9.2,19.5,19.5,19.5,19.5,-1,-1,19.5,-110,-120,49,51,20.5,112,112,50,50,19.5,-110,-120,49,51,19.5,-113,-113,50,50,19.5,-115,-115,50,50
27,7.5,-134,-127,-11.0,0,0,-1.6,-59.6,-10.0,5.71,46,1,0,51,49,50,1010111000,1.01e+19,1.01e+29,10101,6,20,20,-1.79,-23.82,7.5,7.5,7.5,7.5,-1,-1,7.5,-120,-115,50,50,7.5,-122,-109,51,49,7.5,-120,-110,51,49,7.5,-125,-102,52,48,7.5,-115,-115,50,50
29,30.5,-121,-139,-10.7,0,0,2.5,-64.4,-12.5,28.57,45,0,0,48,52,50,1010101001,1.01e+19,1.01e+29,10101,68,53,57,-1.93,-6.34,30.5,30.5,30.5,30.5,-1,-1,30.5,-105,-125,48,52,-1,-1,-1,-1,-1,30.5,-105,-125,48,52,-1,-1,-1,-1,-1,30.5,-110,-120,49,51
30,23.5,-132,-129,-10.3,0,0,-1.2,-53.1,-12.5,21.91,45,1,0,50,50,50,1100001011,1.1e+19,1.1e+29,11000,13,19,20,-1.59,-6.78,23.5,23.5,23.5,23.5,-1,-1,23.5,-120,-110,51,49,23.5,-103,-105,50,50,23.5,-125,-105,52,48,23.5,-118,-108,51,49,23.5,-115,-115,50,50
31,21.5,-121,-139,9.7,1,16.7,20.6,-19.4,-2.5,20.92,49,0,0.6,48,52,50,100110110,1e+18,1e+28,1001,63,46,60,-0.58,-2.71,22.5,22.5,21.5,21.5,-1,-1,21.5,-105,-125,48,52,23.5,-109,105,52,48,21.5,-105,-125,48,52,22.5,-115,-111,50,50,21.5,-115,-115,50,50
32,12.5,-114,-150,9.6,1,0,3,34.8,22.5,13.55,59,0,0,47,53,60,1100100111,1.1e+19,1.1e+29,11001,40,48,50,1.05,8.36,12.5,12.5,12.5,12.5,-1,-1,12.5,100,-130,47,53,-1,-1,-1,-1,-1,12.5,-105,-125,48,52,12.5,-104,-122,48,52,12.5,-110,-120,49,51
33,21.5,-136,-124,-9.1,0,0,-1,-73.4,15.0,19.3,56,0,0,51,49,60,1110101001,1.11e+19,1.11e+29,11101,63,58,43,-2.2,-10.24,21.5,21.5,21.5,21.5,-1,-1,21.5,-120,-110,51,49,-1,-1,-1,-1,-1,21.5,-120,-110,51,49,-1,-1,-1,-1,-1,21.5,-115,-115,50,50
34,22.5,-139,-121,-9.1,0,0,-16,39.4,-62.5,23.68,25,1,0.3,52,48,20,1100000000,1.1e+19,1.1e+29,11000,28,27,17,1.18,5.25,22.5,22.5,22.5,22.5,-1,-1,22.5,-145,105,55,45,22.5,100,100,50,50,22.5,-140,110,55,45,21.5,-113,-113,50,50,21.5,-110,-120,49,51
35,36.5,-129,-130,-9.1,0,0,1.1,-60.4,-2.5,34.69,49,1,0,50,50,50,101100101,1.01e+18,1.01e+28,1011,-1,40,0,-1.81,-4.97,36.5,36.5,36.5,36.5,-1,-1,36.5,-120,-115,50,50,-1,-1,-1,-1,-1,36.5,-115,-115,50,50,36.5,-102,-125,48,52,36.5,-110,-120,49,51
36,34.5,-139,-121,-8.7,0,0,5,-100.0,30.0,30.5,62,1,0.1,52,48,70,111100111,1.11e+18,1.11e+28,1111,42,53,50,-4.0,-11.6,34.5,34.5,34.5,34.5,-1,-1,34.5,-125,-105,52,48,35.5,108,100,49,51,34.5,-125,-105,52,48,34.5,-120,-106,51,49,34.5,-120,-110,51,49
38,35.5,-141,-120,-8.7,0,0,-5.6,-14.8,-30.0,35.06,38,0,0.4,52,48,40,1011001,1.01e+16,1.01e+26,10,26,42,20,-0.44,-1.25,35.5,35.5,35.5,35.5,-1,-1,34.5,-105,-125,48,52,36.5,110,105,49,51,34.5,-105,-125,48,52,35.5,-113,-113,50,50,35.5,-120,-110,51,49
39,47.5,-134,-125,-8.7,0,0,-0.6,-51.3,-5.0,45.96,48,0,0,51,49,50,101010011,1.01e+18,1.01e+28,1010,53,53,63,-1.54,-3.24,47.5,47.5,47.5,47.5,-1,-1,47.5,-120,-110,51,49,-1,-1,-1,-1,-1,47.5,-120,-110,51,49,47.5,-111,-115,50,50,47.5,-115,-115,50,50
40,13.5,-125,-134,8.6,1,0,5.7,43.7,0.0,14.81,50,0,0.1,49,51,50,101100101,1.01e+18,1.01e+28,1011,17,52,33,1.31,9.7,13.5,13.5,13.5,13.5,-1,-1,13.5,-110,-120,49,51,14.5,-113,115,53,47,13.5,-110,-120,49,51,13.5,-122,-104,52,48,13.5,-115,-115,50,50
41,26.5,-127,-132,-8.5,0,0,0.3,-9.8,-47.5,26.21,31,0,0,50,50,30,1010001000,1.01e+19,1.01e+29,10100,18,21,0,-0.29,-1.11,-1,-1,26.5,26.5,-1,-1,26.5,-115,-120,50,50,-1,-1,-1,-1,-1,26.5,-115,-115,50,50,26.5,-113,-115,50,50,26.5,-115,-115,50,50
42,21.5,-127,-132,8.4,1,0,11.1,20.0,10.0,22.1,54,0,0.2,50,50,60,110110110,1.1e+18,1.1000000000000002e+28,1101,46,44,33,0.6,2.79,21.5,21.5,21.5,21.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.5,-115,-115,50,50,22.5,-118,-108,51,49,21.5,-110,-120,49,51
43,2.5,-143,-118,-8.2,0,0,-5.5,10.7,-52.5,2.71,29,1,0,52,48,30,1010000100,1.01e+19,1.01e+29,10100,44,25,17,0.21,8.59,2.5,2.5,-1,-1,-1,-1,2.5,-130,-105,52,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,18.5,-125,-134,8.2,1,0,2.5,28.7,20.0,19.36,58,1,0,49,51,60,11011101,1.1e+17,1.1000000000000001e+27,110,47,53,30,0.86,4.65,18.5,18.5,18.5,18.5,-1,-1,18.5,-115,-120,50,50,-1,-1,-1,-1,-1,18.5,100,-130,47,53,18.5,-108,-118,49,51,18.5,-105,-125,48,52
46,8.5,-134,-127,7.8,1,0,-1.5,80.7,-25.0,10.92,40,1,0,51,49,40,1000001110,1e+19,1.0000000000000001e+29,10000,79,51,56,2.42,28.49,8.5,8.5,8.5,8.5,-1,-1,8.5,-120,-110,51,49,-1,-1,-1,-1,-1,8.5,-120,-110,51,49,8.5,-118,-108,51,49,8.5,-120,-110,51,49
48,8.5,-125,-136,-7.6,0,0,0.2,-33.6,-17.5,7.49,43,0,0,49,51,50,101010110,1.01e+18,1.01e+28,1010,19,21,17,-1.01,-11.87,-1,-1,8.5,8.5,-1,-1,8.5,-110,-120,49,51,-1,-1,-1,-1,-1,8.5,-110,-120,49,51,8.5,-120,-106,51,49,8.5,-115,-115,50,50
49,0.5,-122,-137,7.5,1,0,8.6,22.4,7.5,0.84,53,1,0,49,51,50,1100011001,1.1e+19,1.1e+29,11000,75,58,75,0.34,67.17,0.5,0.5,-1,-1,-1,-1,0.5,-110,-120,49,51,0.5,104,-139,46,54,-1,-1,-1,-1,-1,0.5,102,-130,47,53,-1,-1,-1,-1,-1
50,23.5,-134,-125,-7.4,0,0,-16.1,10.7,-22.5,23.82,41,1,0.3,51,49,40,100010110,1e+18,1e+28,1000,78,65,75,0.32,1.36,23.5,23.5,23.5,23.5,-1,-1,23.5,-120,-110,51,49,-1,-1,-1,-1,-1,23.5,-120,-110,51,49,22.5,-106,-120,49,51,22.5,-105,-125,48,52
