PLAYER_NAME,PLAYER_ID,OPP,PTS,REB,AST,STL,TOV,BLK,FG3M,DD2,REB_Boost,AST_Boost,STL_Boost,TOV_Boost,BLK_Boost,FG3M_Boost,DD2_Boost
Lamar Stevens,1630205,WAS,,,,,,,,,,,,,,,
Luke Kornet,1628436,WAS,,,,,,,,,,,,,,,
Neemias Queta,1629674,WAS,,,,,,,,,,,,,,,
Oshae Brissett,1629052,WAS,,,,,,,,,,,,,,,
Payton Pritchard,1630202,WAS,,,,,,,,,,,,,,,
Sam Hauser,1630573,WAS,,,,,,,,,,,,,,,
Svi Mykhailiuk,1629004,WAS,,,,,,,,,,,,,,,
Amari Bailey,1641735,MIL,,,,,,,,,,,,,,,
Brandon Miller,1641706,MIL,25.5,4.5,,,,,5.5,,,,,,,1,
Bryce McGowens,1631121,MIL,,,,,,,,,,,,,,,
Cody Martin,1628998,MIL,11.5,,5.5,,,,2.5,,,,,,,1,
Frank Ntilikina,1628373,MIL,,,,,,,,,,,,,,,
Gordon Hayward,202330,MIL,,,,,,,,,,,,,,,
Ish Smith,202397,MIL,,,,,,,,,,,,,,,
James Bouknight,1630547,MIL,,,,,,,,,,,,,,,
JT Thor,1630550,MIL,,,,,,,,,,,,,,,
LaMelo Ball,1630163,MIL,,,,,,,,,,,,,,,
Leaky Black,1641778,MIL,,,,,,,,,,,,,,,
Mark Williams,1631109,MIL,,,,,,,,,,,,,,,
Miles Bridges,1628970,MIL,26.5,7.5,4.5,,,,,1,,,,,,,1
Nathan Mensah,1641877,MIL,,,,,,,,,,,,,,,
Nick Richards,1630208,MIL,11.5,11.5,,,,,,,1,,,,,,
Nick Smith Jr.,1641733,MIL,,,,,,,,,,,,,,,
P.J. Washington,1629023,MIL,,,,,,,,,,,,,,,
Terry Rozier,1626179,MIL,,,,,,,,,,,,,,,
Aaron Gordon,203932,SAC,,,,,,,,,,,,,,,
Braxton Key,1630296,SAC,,,,,,,,,,,,,,,
Christian Braun,1631128,SAC,,,,,,,,,,,,,,,
Collin Gillespie,1631221,SAC,,,,,,,,,,,,,,,
DeAndre Jordan,201599,SAC,,,,,,,,,,,,,,,
Hunter Tyson,1641816,SAC,,,,,,,,,,,,,,,
Jalen Pickett,1629618,SAC,,,,,,,,,,,,,,,
Jamal Murray,1627750,SAC,23.5,5.5,7.5,,,,2.5,,1,,,,,,
Jay Huff,1630643,SAC,,,,,,,,,,,,,,,
Julian Strawther,1631124,SAC,,,,,,,,,,,,,,,
Justin Holiday,203200,SAC,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,203484,SAC,10.5,3.5,,,,0.5,,,1,,,,1,,
Michael Porter Jr.,1629008,SAC,,,,,,,,,,,,,,,
Nikola Jokic,203999,SAC,27.5,12.5,,,,,,,,,,,,,
Peyton Watson,1631212,SAC,,,,,,,,,,,,,,,
Reggie Jackson,202704,SAC,,,,,,,,,,,,,,,
Vlatko Cancar,1628427,SAC,,,,,,,,,,,,,,,
Zeke Nnaji,1630192,SAC,,,,,,,,,,,,,,,
Aaron Holiday,1628988,TOR,,,,,,,,,,,,,,,
Alperen Sengun,1630578,TOR,24.5,,5.5,,,1.5,,,,,,,1,,
Amen Thompson,1641708,TOR,14.5,,5.5,,,1.5,,,,,,,1,,
Boban Marjanovic,1626246,TOR,,,,,,,,,,,,,,,
Cam Whitmore,1641715,TOR,,,,,,,,,,,,,,,
Dillon Brooks,1628415,TOR,13.5,,,,,0.5,1.5,,,,,,1,,
Fred VanVleet,1627832,TOR,,,,,,,,,,,,,,,
Jabari Smith Jr.,1631095,TOR,12.5,,,1.5,,0.5,,,,,1,,,,
Jae'Sean Tate,1630256,TOR,,,,,,,,,,,,,,,
Jalen Green,1630224,TOR,19.5,,5.5,,,,,,,1,,,,,
Jeff Green,201145,TOR,,,,,,,,,,,,,,,
Jermaine Samuels Jr.,1631257,TOR,,,,,,,,,,,,,,,
Jock Landale,1629111,TOR,,,,,,,,,,,,,,,
Nate Hinton,1630207,TOR,,,,,,,,,,,,,,,
Nate Williams,1631466,TOR,,,,,,,,,,,,,,,
Reggie Bullock Jr.,203493,TOR,,,,,,,,,,,,,,,
Tari Eason,1631106,TOR,,,,,,,,,,,,,,,
Victor Oladipo,203506,TOR,,,,,,,,,,,,,,,
Anthony Davis,203076,NOP,,,,,,,,,,,,,,,
Austin Reaves,1630559,NOP,,,,,,,,,,,,,,,
Cam Reddish,1629629,NOP,,,,,,,,,,,,,,,
Christian Wood,1626174,NOP,,,,,,,,,,,,,,,
Colin Castleton,1630658,NOP,,,,,,,,,,,,,,,
D'Angelo Russell,1626156,NOP,,,,,,,,,,,,,,,
Dylan Windler,1629685,NOP,,,,,,,,,,,,,,,
Gabe Vincent,1629216,NOP,,,,,,,,,,,,,,,
Jalen Hood-Schifino,1641720,NOP,,,,,,,,,,,,,,,
Jarred Vanderbilt,1629020,NOP,,,,,,,,,,,,,,,
Jaxson Hayes,1629637,NOP,,,,,,,,,,,,,,,
LeBron James,2544,NOP,,,,,,,,,,,,,,,
Max Christie,1631108,NOP,,,,,,,,,,,,,,,
Maxwell Lewis,1641721,NOP,,,,,,,,,,,,,,,
Rui Hachimura,1629060,NOP,,,,,,,,,,,,,,,
Skylar Mays,1630219,NOP,,,,,,,,,,,,,,,
Taurean Prince,1627752,NOP,,,,,,,,,,,,,,,
AJ Green,1631260,CHA,,,,,,,,,,,,,,,
Andre Jackson Jr.,1641748,CHA,,,,,,,,,,,,,,,
Bobby Portis,1626171,CHA,,,,,,,,,,,,,,,
Brook Lopez,201572,CHA,,,,,,,,,,,,,,,
Cameron Payne,1626166,CHA,,,,,,,,,,,,,,,
Chris Livingston,1641753,CHA,,,,,,,,,,,,,,,
Damian Lillard,203081,CHA,,,,,,,,,,,,,,,
Giannis Antetokounmpo,203507,CHA,33.5,,9.5,,,1.5,,,,1,,,1,,
Jae Crowder,203109,CHA,,,,,,,,,,,,,,,
Khris Middleton,203114,CHA,,,,,,,,,,,,,,,
Malik Beasley,1627736,CHA,,,,,,,,,,,,,,,
MarJon Beauchamp,1630699,CHA,,,,,,,,,,,,,,,
Pat Connaughton,1626192,CHA,,,,,,,,,,,,,,,
Robin Lopez,201577,CHA,,,,,,,,,,,,,,,
Thanasis Antetokounmpo,203648,CHA,,,,,,,,,,,,,,,
TyTy Washington Jr.,1631102,CHA,,,,,,,,,,,,,,,
Brandon Ingram,1627742,LAL,,,,,,,,,,,,,,,
CJ McCollum,203468,LAL,,,,,,,,,,,,,,,
Cody Zeller,203469,LAL,,,,,,,,,,,,,,,
Dereon Seabron,1631220,LAL,,,,,,,,,,,,,,,
Dyson Daniels,1630700,LAL,,,,,,,,,,,,,,,
E.J. Liddell,1630604,LAL,,,,,,,,,,,,,,,
Herbert Jones,1630529,LAL,,,,,,,,,,,,,,,
Jeremiah Robinson-Earl,1630526,LAL,,,,,,,,,,,,,,,
Jonas Valanciunas,202685,LAL,,,,,,,,,,,,,,,
Jordan Hawkins,1641722,LAL,,,,,,,,,,,,,,,
Jose Alvarado,1630631,LAL,,,,,,,,,,,,,,,
Larry Nance Jr.,1626204,LAL,,,,,,,,,,,,,,,
Matt Ryan,1630346,LAL,,,,,,,,,,,,,,,
Naji Marshall,1630230,LAL,,,,,,,,,,,,,,,
Trey Murphy III,1630530,LAL,,,,,,,,,,,,,,,
Zion Williamson,1629627,LAL,,,,,,,,,,,,,,,
Danuel House Jr.,1627863,LAL,,,,,,,,,,,,,,,
De'Anthony Melton,1629001,ATL,,,,,,,,,,,,,,,
Furkan Korkmaz,1627788,ATL,,,,,,,,,,,,,,,
Jaden Springer,1630531,ATL,,,,,,,,,,,,,,,
Joel Embiid,203954,ATL,,,,,,,,,,,,,,,
Kelly Oubre Jr.,1626162,ATL,17.5,,,,,0.5,1.5,,,,,,,,
