PLAYER_NAME,OPP,PTS
Pascal Siakam,NYK,21.5
Tyrese Haliburton,NYK,15.5
Aaron Nesmith,NYK,14.5
Myles Turner,NYK,16.5
Jalen Brunson,IND,32.5
Donte DiVincenzo,IND,18.5
Josh Hart,IND,11.5
Isaiah HartenStein,IND,9.5
